id,value,,
Alabama,1201,,
Alaska,88,,
Arizona,1277,,flare.data.converters.California
Arkansas,751,,flare.analytics.cluster.Alabama
California,4596,,flare.animate.interpolate.Arkansas
Colorado,802,,
Connecticut,382,,
Delaware,192,,
District of Columbia,32,,
Florida,4238,,
Georgia,2070,,
Hawaii,134,,
Idaho,281,,
Illinois,1413,,
Indiana,1180,,
Iowa,433,,
Kansas,474,,
Kentucky,1102,,
Louisiana,1024,,
Maine,194,,
Maryland,749,,
Massachusetts,428,,
Michigan,1476,,
Minnesota,597,,
Mississippi,878,,
Missouri,1254,,
Montana,271,,
Nebraska,338,,
Nevada,467,,
New Hampshire,143,,
New Jersey,795,,
New Mexico,383,,
New York,1568,,
North Carolina,1979,,
North Dakota,170,,
Ohio,1691,,
Oklahoma,904,,
Oregon,608,,
Pennsylvania,1736,,
Rhode Island,58,,
South Carolina,1427,,
South Dakota,170,,
Tennessee,1375,,
Texas,4999,,
Utah,428,,
Vermont,72,,
Virginia,1042,,
Washington,812,,
West Virginia,364,,
Wisconsin,812,,
Wyoming,198,,
