dark-lighted-clear-clear,4459
dark-lighted-clear-cloudy,833
dark-lighted-fog,53
dark-lighted-rain,511
dark-lighted-snow,34
dark-lighted-other,12
dark-dark-clear-clear,6384
dark-dark-clear-cloudy,1471
dark-dark-rain,796
dark-dark-snow,121
dark-dark-fog,212
dark-dark-other,24
dark-unknown-clear-clear,124
dark-unknown-clear-cloudy,17
dark-unknown-rain,13
dark-unknown-snow,2
daylight-daylight-clear-clear,11478
daylight-daylight-clear-cloudy,2321
daylight-daylight-rain,997
daylight-daylight-snow,232
daylight-daylight-fog,265
daylight-dusk-clear-clear,606
daylight-dusk-clear-cloudy,124
daylight-dusk-rain,51
daylight-dusk-snow,7
daylight-dusk-fog,3
daylight-dawn-clear-clear,417
daylight-dawn-clear-cloudy,129
daylight-dawn-rain,47
daylight-dawn-snow,16
daylight-dawn-fog,38
unknown-clear-clear,42
unknown-clear-cloudy,8
unknown-rain,6
unknown-snow,1
unknown-fog,2
